1 - klasowa	1-klasowa
XVIII - wieczny	XVIII-wieczny
XIII - wiecznym	XIII-wiecznym
XIII - wiecznych	XIII-wiecznych
XIV - wiecznego	XIV-wiecznego
XIX - wiecznych	XIX-wiecznych
XV - wieczny	XV-wieczny
IV - ligowej	IV-ligowej
III - ligowym	III-ligowym
III - ligową	III-ligową
II - ligowego	II-ligowego
II - ligowemu	II-ligowemu
I - ligowej	I-ligowej
60 - stopniowym	60-stopniowym
435 - litrowym	435-litrowym
41 - letni	41-letni
40 - godzinnym	40-godzinnym
40 - tysięcznym	40-tysięcznym
3,5 - tonowym	3,5-tonowym
24 - karatowym	24-karatowym
24 - osobowym	24-osobowym
22 - procentowym	22-procentowym
20 - tomowym	20-tomowym
20 - złotowym	20-złotowym
2 - godzinnym	2-godzinnym
17 - letnim	17-letnim
16 - letnim	16-letnim
15 - letnim	15-letnim
150 - tysięcznym	150-tysięcznym
150 - procentowego	150-procentowego
100 - tysięcznym	100-tysięcznym
10 - letnim	10-letnim
72 - letniego	72-letniego
11 - letnim	11-letnim
12 - letnim	12-letnim
8 - osobowych	8-osobowych
800 - gramowy	800-gramowy
100 - ml	100-ml
12 - cyfrowy	12-cyfrowy
185 - osobową	185-osobową
27 - Ietni	27-Ietni
4.4 - litrowy	4.4-litrowy
44 - krotne	44-krotne
6 - minutowego	6-minutowego
