budujący	budować
przetłuszczający się	przetłuszczać się
podupadły	podupaść
podupadły	podupaść
zbiedniały	zbiednieć
zubożały	zubożeć
zubożały	zubożeć
ostygły	ostygnąć
ostygły	ostygnąć
pomny	pomnieć
wygasły	wygasnąć
wygasły	wygasnąć
przekwitły	przekwitnąć
przekwitły	przekwitnąć
zwiędnięty	zwiędnąć
zwiędły	zwiędnąć
zwiędły	zwiędnąć
zwiędnięty	zwiędnąć
zeschnięty	zeschnąć
zeschły	zeschnąć
zbutwiały	zbutwieć
zmartwychwstały	zmartwychwstać
zaorany	zaorać się
złotodajny	dawać
złotonośny	nosić
dźwiękochłonny	chłonąć
zwiotczały	zwiotczeć
dorastający	dorastać
rażący	razić
myślący	myśleć
przyzwyczajony	przyzwyczaić się
nawykły	nawyknąć
ocalały	ocaleć
przywykły	przywyknąć
rozmodlony	rozmodlić się
wyrosły	wyrosnąć
wyrosły	wyrosnąć
zgorzkniały	zgorzknieć
zgorzkniały	zgorzknieć
frapujący	frapować
oszałamiający	oszałamiać
olśniewający	olśniewać
pozostały	pozostać
zastępczy	zastępować
przekonujący	przekonywać
odurzający	odurzać
opóźniony	opóźniać się
oślepiający	oślepiać
słyszący	słyszeć
spóźniony	spóźniać się
spóźniony	spóźniać się
uderzający	uderzać
uwłaczający	uwłaczać
męczący	męczyć
wyczerpujący	wyczerpywać
wyschnięty	wyschnąć
wyschnięty	wyschnąć
wyschnięty	wyschnąć
zadłużony	zadłużyć się
dobroczynny	czynić
pobudzający	pobudzać
insektobójczy	zabijać
uspokajający	uspokajać
pijany jak Messerschmitt	spić się jak Messerschmitt
najebany jak Messerschmitt	najebać się jak Messerschmitt
nawalony jak Messerschmitt	nawalić się jak Messerschmitt
narąbany jak Messerschmitt	narąbać się jak Messerschmitt
napierdolony jak Messerschmitt	napierdolić się jak Messerschmitt
życiodajny	dawać
przemijalny	przemijać
paroprzepuszczalny	przepuszczać
wystarczalny	wystarczać
zużywalny	zużywać się
przystawalny	przystawać
przemakalny	przemakać
odłączalny	odłączać się
dołujący	dołować
przynależny	przynależeć
obwoźny	obwozić
obnośny	obnosić
były	być
oszczędny	oszczędzać
kłujący	kłuć
analizujący	analizować
przejmujący	przejmować
nużący	nużyć
uogólniający	uogólniać
zbiedniały	zbiednieć
skurczony	skurczyć się
zatwierdzający	zatwierdzać
nadwiędły	nadwiędnąć
nadwiędły	nadwiędnąć
nadwiędły	nadwiędnąć
obeschły	obeschnąć
oślepły	oślepnąć
osłabły	osłabnąć
osłabły	osłabnąć
ogłuchły	ogłuchnąć
zagasły	zagasnąć
zapotniały	zapotnieć
odwykły	odwyknąć
przesiąkły	przesiąknąć
sposępniały	sposępnieć
zgorzały	zgorzeć
rozmokły	rozmoknąć
spoważniały	spoważnieć
zwilgotniały	zwilgotnieć
przeciągły	przeciągać się
złamany	złamać się
poślepły	poślepnąć
kulawy	kuleć
pogrubiały	pogrubieć
praktykujący	praktykować
pomdlały	pomdleć
