wieśniak|wsiowy	wieś|wioska
Kartagińczyk|Punijczyk	Kartagina
Sumer|Sumeryjczyk	Sumer
Prusak	Prusy
Ket	Syberia|Sybir
Arakańczyk	Birma|Mjanma|Związek Birmański|Związek Myanmar
Gagauz	Gagauzja|Terytorium Autonomiczne Gagauzji
Adżar	Adżaria|Adżarska Republika Autonomiczna
Bojko	Bojkowszczyzna
Weps	Wepska Gmina Narodowa
Angolczyk	Angola|Republika Angoli
Nowojorczyk	Nowy York
andorczyk	Andora
Ateńczyk	Ateny
Maryjczyk	Mari El
Karyjczyk	Karia
Koreańczyk	Korea
Luksemburczyk	Luksemburgia
Macedończyk	Macedonia
Lach Sądecki	Sądecczyzna
Dunganie	Kirgistan|Republika Kirgiska|Kirgizja
Dunganie	Kazachstan|Republika Kazachstanu
meksykanin	Meksyk
Wielkorusin	Wielkorosja|Wielkoruś
Małorusin	Małorosja|Małoruś
zaporożanin	Zaporoże
Adygejczyk	Adygeja
chojnowianin	Chojnów
Mazowszanin	Mazowsze
Nogajowie	Kaukaz
Dołganie	Jakucja|Republika Sacha|Republika Jakucka
Tuareg	Sahara
Numida|Numidyjczyk	Numidia
Beota	Beocja
Lakończyk	Lakonia
Abchaz	Abchazja
Czuwasz	Czuwaszja|Republika Czuwaska
Dagestańczyk	Dagestan|Republika Dagestanu
Jakut	Jakucja|Republika Sacha|Republika Jakucka
Karel	Karelia|Republika Karelii
Singapurczyk	Singapur|Republika Singapuru
Saudyjczyk|Arab Saudyjski	Arabia Saudyjska|Królestwo Arabii Saudyjskiej
Antiguańczyk	Antigua i Barbuda
Australijczyk	Australia|Związek Australijski
Bahamczyk	Bahamy|Wspólnota Bahamów
Bahrajńczyk	Bahrajn|Królestwo Bahrajnu|Państwo Bahrajnu
Banglijczyk	Bangladesz|Ludowa Republika Bangladeszu
Barbadoszczyk|Barbadosyjczyk	Barbados
Belizeńczyk	Belize
Benińczyk	Benin|Republika Beninu
Bhutańczyk	Bhutan|Królestwo Bhutanu
Birmańczyk	Birma|Mjanma|Związek Birmański|Związek Myanmar
Boliwijczyk	Boliwia|Wielonarodowe Państwo Boliwia|Republika Boliwii
Botswańczyk	Botswana|Republika Botswany
Burundyjczyk	Burundi|Republika Burundi
Chilijczyk	Chile|Republika Chile
Czadyjczyk	Czad|Republika Czadu
Dominiczanin	Dominika|Wspólnota Dominiki
