diagnostyk	diagnoza
diagnostyk	diagnostyka
docent	docentura
informator	informacja
abonent	abonament
abonent	abonament
detalista	detal
dystrybutor	dystrybucja
konkurent	konkury
kontrahent	kontrakt
korespondent	korespondencja
plantator	plantacja
świadczeniodawca	świadczenie
abstynent	abstynencja
agitator	agitacja
aliant	alians
dowcipniś	dowcip
dowcipniś	dowcip
ewangelista	Ewangelia
legat	legacja
monarchista	monarchizm
rasista	rasizm
regent	regencja
śmieciarz	śmieć
śmieciarz	śmieć
szowinista	szowinizm
szowinista	szowinizm
torys	toryzm
wczasowicz	wczasy
żałobnik	żałoba
szelma	szelmostwo
fechmistrz	fechty
inkasent	inkaso
metodyk	metodyka
przedszkolak	przedszkole
skarbnik	skarb
ministrant	ministrantura
bankrut	bankructwo
biograf	biografia
liryk	liryka
cieśla	ciesielka
cieśla	ciesiołka
garncarz	garncarstwo
instalator	instalacja
instalator	instalacja
krawiec	krawiectwo
kotlarz	kocioł
optyk	optyka
optyk	optyka
rzeźnik	rzeźnia
rzeźnik	rzeźnia
spawacz	spawalnictwo
szewc	szewstwo
szklarz	szkło
asceta	asceza
asceta	asceza
bukmacher	bukmacherstwo
bukmacher	bukmacherka
dokumentalista	dokument
dokumentalista	dokument
dokumentalista	dokumentalistyka
dokumentalista	dokumentalistyka
dokumentalista	dokument
kołodziej	kołodziejstwo
kołodziej	koło
mańkut	mańka
skrzypek	skrzypce
zegarmistrz	zegarmistrzostwo
zegarmistrz	zegar
tokarz	tokarka
beneficjent	beneficjum
beneficjent	beneficjum
gwarant	gwarancja
katalizator	kataliza
fryzjer	fryzura
szatniarz	szatnia
korepetytor	korepetycja
kreślarz	kreślarstwo
sędzia przysięgły	sąd przysięgłych
doktryner	doktryna
kobieciarz	kobieta
konformista	konformizm
perfekcjonista	perfekcja
piwosz	piwo
plotkarz	plotkarstwo
wyzyskiwacz	wyzysk
żniwiarz	żniwa
wagarowicz	wagary
kobziarz	kobza
spowiednik	spowiedź
ceramik	ceramika
ceramik	ceramika
kioskarz	kiosk
urlopowicz	urlop
transwestyta	transwestytyzm
dowcipas	dowcip
dowcipas	dowcip
akompaniator	akompaniament
brzuchomówca	brzuchomówstwo
dudziarz	dudy
gramatyk	gramatyka
gramatyk	gramatyka
humorysta	humor
humorysta	humoreska
kwiaciarz	kwiat
masochista	masochizm
metafizyk	metafizyka
szmugler	szmugiel
włókniarz	włókno
panikarz	panikarstwo
panikarz	panika
awanturnik	awantura
islamista	islamizm
islamista	islam
kryminalista	kryminał
nazista	nazizm
opozycjonista	opozycja
opozycjonista	opozycja
przemytnik	przemyt
separatysta	separatyzm
socjaldemokrata	socjaldemokracja
zamachowiec	zamach
złoczyńca	zło
husyta	husytyzm
babiarz	baba
bartnik	barć
figlarz	figiel
furman	furmanka
infułat	infuła
gaduła	gadulstwo
kramarz	kram
piwowar	piwo
powroźnik	powróz
węglarz	węgiel
winiarz	wino
wizytator	wizytacja
alchemik	alchemia
biesiadnik	biesiada
racjonalista	racjonalizm
brygadzista	brygada
brygadier	brygada
demonstrant	demonstracja
dyspozytor	dyspozycja
fotoreporter	fotoreportaż
harfiarz	harfa
inkwizytor	inkwizycja
karczmarz	karczma
karczmarz	karczmarstwo
konwojent	konwój
mag	magia
milicjant	milicja
ogniomistrz	ogień
pielęgniarz	pielęgniarstwo
prefekt	prefektura
pustelnik	pustelnia
skrytobójca	skrytobójstwo
sokolnik	sokolnictwo
sokolnik	sokół
sokolnik	sokół
wojak	wojaczka
wojak	wojna
woźnica	wóz
wywiadowca	wywiad
wywiadowca	wywiad
włócznik	włócznia
kawiarka	kawa
syntetyk	synteza
akwizytor	akwizycja
pięściarz	pięściarstwo
choreograf	choreografia
fotografik	fotografika
aplikant	aplikacja
audytor	audyt
gitarzysta	gitara
basista	bas
basista	bas
cukiernik	cukiernictwo
cukiernik	cukiernia
cukrownik	cukier
cukrownik	cukrownia
diagnosta	diagnoza
dyskutant	dyskusja
działkowiec	działka
edytor	edycja
edytor	edytorstwo
estetyk	estetyka
felczer	felczerka
geometra	geometria
instrumentalista	instrument
interesant	interes
internauta	internet
kajakarz	kajakarstwo
kajakarz	kajak
katecheta	katecheza
kolędnik	kolęda
legislator	legislacja
legislator	legislacja
literat	literatura
mediator	mediacja
modelarz	model
monopolista	monopol
muzykant	muzyka
patolog	patologia
patolog	patologia
posesjonat	posesja
prekursor	prekursorstwo
zleceniodawca	zlecenie
przemysłowiec	przemysł
samochodziarz	samochód
świadczeniobiorca	świadczenie
teatroman	teatromania
teolog	teologia
teoretyk	teoria
współautor	współautorstwo
antysemityzm	Semita
ekshibicjonista	ekshibicjonizm
plagiator	plagiat
plagiator	plagiatorstwo
singel	debel
oftalmoskop	oftalmoskopia
haker	hakerstwo
lekkoduch	lekkoduchostwo
wtórny analfabeta	wtórny analfabetyzm
tancerz charakterystyczny	taniec charakterystyczny
szambiarz	szambo
faktograf	faktografia
pederasta	pederastia
akordeonista	akordeon
aranżer	aranżacja
bębniarz	bęben
cyrkowiec	cyrk
cyrkowiec	cyrk
balansista	balans
siłacz	siła
flecista	flet
gawędziarz	gawędziarstwo
gawędziarz	gawęda
anegdociarz	anegdota
facecjonista	facecja
facecjonista	facecja
gawędziarz	gawęda
prozaik	proza
grotołaz	grota
speleolog	speleologia
grzybiarz	grzyb
hipnotyzer	hipnoza
teozof	teozofia
wróżbiarz	wróżba
wróżbiarz	wróżbiarstwo
wróżbita	wróżba
wieszczbiarz	wieszczba
numerolog	numerologia
kabalarz	kabała
kabalista	kabała
kabalista	kabała
interpretator	interpretacja
glosator	glosa
glosator	glosa
egzegeta	egzegeza
biblista	biblistyka
biblista	Biblia
homiletyk	homilia
homiletyk	homilia
bigbitowiec	bigbit
bluesman	blues
bluesman	blues
hiphopowiec	hip-hop
bandurzysta	bandura
cytrzysta	cytra
fagocista	fagot
cyrkowiec	cyrk
ekwilibrysta	ekwilibrystyka
kaskader	kaskaderstwo
rekista	rek
woltyżer	woltyżerka
konny	koń
jogin	joga
jogin	joga
słupnik	słup
iluzjonista	iluzja
kuglarz	kuglarstwo
prestidigitator	prestidigitatorstwo
sztukmistrz	sztukmistrzostwo
kuglarz	kuglarstwo
jog	joga
pantomimista	pantomima
kawalarz	kawał
kłótnik	kłótnia
modernizator	modernizacja
epigon	epigoństwo
innowator	innowacja
nowinkarz	nowinka
partyjny	Partia
obskurant	obskurantyzm
beletrysta	beletrystyka
prozator	proza
nowelista	nowela
powieściopisarz	powieść
admirator	admiracja
cudotwórca	cudotwór
cudotwórca	cudotwórstwo
cudotwórca	cud
guślarz	gusła
egzegeta	egzegeza
interpretator	interpretacja
interpreter	interpretacja
interpretator	interpretacja
ezoteryk	ezoteryka
prognostyk	prognoza
prognozer	prognoza
praktykant	praktyka
antykwariusz	antyk
laborant	laboratorium
archiwista	archiwistyka
hotelarz	hotel
kronikarz	kronika
radiotelegrafista	radiotelegraf
radiooperator	radio
komediant	komedia
jazzman	jazz
kaligraf	kaligrafia
kameralista	kameralistyka
kaligrafista	kaligrafia
kapelmistrz	kapela
klarnecista	klarnet
farmazon	farmazon
klawesynista	klawesyn
kolorysta	kolor
blagier	blaga
bajerant	bajer
paranoik	paranoja
kontrabasista	kontrabas
koncertmistrz	koncert
hufcowy	hufiec
szczepowy	szczep
księgowy	księgowość
lirnik	lira
lutnista	lutnia
zleceniobiorca	zlecenie
wykonawca	wykonawstwo
podwykonawca	podwykonawstwo
podróżnik	podróż
prawnik	prawo
puzonista	puzon
saksofonista	saksofon
fabularzysta	fabuła
sopranistka	sopran
wiolonczelista	wiolonczela
konsument	konsumpcja
spożywca	spożycie
stołówkowicz	stołówka
erotoman	erotyka
flirciarz	flirt
szybownik	szybowiec
tekściarz	tekst
wyczynowiec	wyczyn
taryfikator	taryfikacja
aferzysta	afera
skandalista	skandal
aferzysta	afera
schizmatyk	schizma
rozłamowiec	rozłam
secesjonista	secesja
separacjonista	separacjonizm
secesjonista	secesja
apostata	apostazja
hucpiarz	hucpa
bałwochwalca	bałwochwalstwo
ikonoklasta	ikonoklazm
obrazoburca	obrazoburstwo
bluźnierca	bluźnierstwo
bałwochwalca	bałwochwalstwo
archiwista	archiwum
annalista	annał
dziejopisarz	dziejopis
dziejopisarz	dzieje
dziejopisarz	dziejopisarstwo
dziejopis	dziejopis
dziejopis	dziejopisarstwo
dziejopis	dzieje
pieczeniarz	pieczeniarstwo
demagog	demagogia
nerwus	nerwy
cholernik	cholera
intrygant	intryga
kacerz	kacerstwo
arianin	arianizm
herezjarcha	herezja
katar	kataryzm
kanciarz	kant
karierowicz	karierowiczostwo
arywista	arywizm
kawalarz	kawał
konspirator	konspiracja
dywersant	dywersja
sabotażysta	sabotaż
krzywoprzysięzca	krzywoprzysięstwo
lichwiarz	lichwa
manichejczyk	manicheizm
kasjer	kasa
mleczarz	mleko
leśnik	las
leśniczy	las
manikiurzystka	manikiur
restaurator	restauracja
łącznościowiec	łączność
telegrafista	telegraf
telefonista	telefon
prawoznawca	prawoznawstwo
kopista	kopia
automatyk	automatyka
elektrotechnik	elektrotechnika
monter	montowanie
galwanotechnik	galwanotechnika
radiowiec	radio
radiomechanik	radio
bufetowy	bufet
biotechnolog	biotechnologia
zielarz	zielarstwo
zielarz	ziele
bioenergoterapeuta	bioenergoterapia
techno	techno
rozjemca	rozjemstwo
kaznodzieja	kazanie
orator	oracja
orator	oratorstwo
krasomówca	krasomówstwo
retor	retoryka
pieśniarz	pieśń
śpiewak	śpiew
dokumentarzysta	dokument
nierządnica	nierząd
trunkowy	trunek
oportunista	oportunizm
koniunkturalista	koniunktura
nonkonformista	nonkonformizm
nonkonformista	nonkonformizm
anglikanin	anglikanizm
oszczerca	oszczerstwo
insynuator	insynuacja
paszkwilant	paszkwil
paser	paserstwo
brakorób	brak
fuszer	fuszerka
maglarz	magiel
kazirodca	kazirodztwo
nekrofil	nekrofilia
pedofil	pedofilia
sadomasochista	sadomasochizm
sadysta	sadyzm
sodomita	sodomia
animista	animizm
gorseciarka	gorset
gorseciarka	gorseciarstwo
dependent	dependencja
golibroda	broda
behawiorysta	behawioryzm
dialektyk	dialektyka
egzystencjalista	egzystencjalizm
ewolucjonista	ewolucjonizm
fenomenolog	fenomenologia
gnostyk	gnostycyzm
kolonialista	kolonializm
legalista	legalizm
libertyn	libertynizm
wolnomyśliciel	wolnomyślicielstwo
taoista	taoizm
militarysta	militaryzm
pozer	poza
blefiarz	blef
blefiarz	blef
dogmatyk	dogmatyzm
sekciarz	sekta
sekciarz	sekciarstwo
balerina	balet
brakarz	brak
kupler	kuplerstwo
profanator	profanacja
świętokradca	świętokradztwo
profan	profanacja
harcownik	harc
bezdomny	bezdomność
łapówkarz	łapówka
łapownik	łapownictwo
epikurejczyk	epikureizm
platonik	platonizm
radiesteta	radiestezja
różdżkarz	różdżkarstwo
klasyfikator	klasyfikacja
modniarka	modniarstwo
bikiniarz	bikiniarstwo
blokers	blok
dresiarz	dres
hardrockowiec	hard rock
punk	punk
rockers	rock
szalikowiec	szalik
ssak kopytny	kopyto
czapnik	czapka
czapnik	czapnictwo
czapkarz	czapka
czapkarz	czapkarstwo
rękawicznik	rękawicznictwo
rękawicznik	rękawiczka
spodniarz	spodniarstwo
spodniarz	spodnie
kanapowiec	kanapa
kroplomierz	kropla
rejestrator	rejestr
stenotypista	stenotypia
fechtmistrz	fechty
fechtmistrz	fechty
