mechaty	mech
oszczepowaty	oszczep
palczasty	palec
pierzasty	pióro
pierzasty	pióro
rynienkowaty	rynienka
sercowaty	serce
skórzasty	skóra
strzałkowaty	strzałka
szablasty	szabla
wachlarzowaty	wachlarz
feudalny	feudalizm
molierowski	Molier
skóropodobny	skóra
satelicki	satelita
rojny	rój
brodawkowaty	brodawka
grzebieniasty	grzebień
defensywny	defensywa
teatralny	teatr
europejski	Europa
szkocki	Szkocja
małopolski	Małopolska
szklany	szkło
winny	wino
renesansowy	renesans
lodowaty	lód
ameboidalny	ameba
pełzakowaty	pełzak
żarłoczny	żarłok
żakowski	żak
wieprzowaty	wieprz
słoniowy	słoń
pierścieniowy	pierścień
kaskadowy	kaskada
posągowy	posąg
nawykowy	nawyk
siodłowy	siodło
heideggerowski	Heidegger
kolebkowy	kolebka
freudowski	Freud
choinkowy	choinka
bachowski	Bach
dantejski	Dante
disneyowski	Disney
jogurtowy	jogurt
mleczny	mleko
klubowy	klub
kwiatowy	kwiat
symptomatyczny	symptom
letni	lato
zimowy	zima
jesienny	jesień
limonkowy	limonka
ptaszęcy	ptaszę
bergmanowski	Bergman
darwinowski	Darwin
einsteinowski	Einstein
felliniowski	Fellini
chopinowski	Chopin
chopinowski	Chopin
ranczowy	Ranczo
uszaty	ucho
hitlerowski	Hitler
ludzki	ludzie
agenturalny	agentura
brukowy	bruk
kossakowski	Kossak
juliański	Juliusz Cezar
justyniański	Justynian
szekspirowski	Szekspir
lalusiowaty	laluś
fircykowaty	fircyk
beethovenowski	Beethoven
kafkowski	Kafka
księżycowy	księżyc
cerkiewny	cerkiew
bukowy	buk
jesionowy	jesion
karnawałowy	karnawał
jarzębinowy	jarzębina
bzowy	bez
bzowy	bez
kaczy	kaczka
kaczy	kaczka
kaczkowaty	kaczka
króliczy	królik
zwierzęcy	zwierzę
szampański	szampan
owadzi	owad
weselny	wesele
ptasi	ptak
słoniowy	słoń
słoniowaty	słoń
papirusowy	papirus
kwietny	kwiat
wąsaty	wąs
książęcy	książę
siatkowaty	siatka
migdałowaty	migdał
klanowy	klan
modzelowaty	modzel
żmijowaty	żmija
dyniowaty	dynia
papugowaty	papuga
papugowaty	papuga
papugowaty	papuga
gapowaty	gapa
gapowaty	gapa
ropuchowaty	ropucha
ropuchowaty	ropucha
ropuchowaty	ropucha
ropuchowaty	ropucha
gwiazdkowaty	gwiazdka
jaszczurowaty	jaszczur
jaszczurowaty	jaszczur
płatowaty	płat
robakowaty	robak
szczurowaty	szczur
disnejowski	Disney
szczurowaty	szczur
szczurowaty	szczur
ślimakowaty	ślimak
żabowaty	żaba
żabowaty	żaba
hippisowski	hippis
łódeczkowaty	łódeczka
chomikowaty	chomik
chomikowaty	chomik
cycaty	cyc
świniowaty	świnia
szczecinowaty	szczecina
spacerowy	spacer
szczelinowy	szczelina
encyklopedyczny	encyklopedia
flaubertowski	Flaubert
żywiczny	żywica
żywiczny	żywica
pityjski	Pytia
proustowski	Proust
szopenowski	Szopen
szopenowski	Szopen
zygzakowaty	zygzak
miseczkowaty	miseczka
dyskowaty	dysk
kiszkowaty	kiszka
listkowaty	listek
trapezowaty	trapez
talerzowaty	talerz
wałeczkowaty	wałeczek
śledziowaty	śledź
śledziowaty	śledź
siodełkowaty	siodełko
chrząstkowaty	chrząstka
kremowy	krem
boyowski	Boy
schillerowski	Schiller
chaplinowski	Chaplin
chaplinowski	Chaplin
spencerowski	Spencer
wasalski	wasal
bajronowski	Byron
beatlesowski	Beatles
beatlesowski	Beatles
małżowinowy	małżowina
tuwimowski	Tuwim
łopatowaty	łopata
poduszkowaty	poduszka
misiowaty	miś
igiełkowaty	igiełka
chamowaty	cham
tarantowaty	tarant
gogolowski	Gogol
wężykowaty	wężyk
