agentka	agent
montażystka	montażysta
nowelistka	nowelista
propagatorka	propagator
realizatorka	realizator
recenzentka	recenzent
rysowniczka	rysownik
socjalistka	socjalista
strukturalistka	strukturalista
strukturalistka	strukturalista
stylistka	stylista
stylistka	stylista
stylistka	stylista
taterniczka	taternik
zbieraczka	zbieracz
zbieraczka	zbieracz
żeglarka	żeglarz
włókniarka	włókniarz
żałobnica	żałobnik
zwiastunka	zwiastun
mówczyni	mówca
ośmiolatka	ośmiolatek
referentka	referent
referentka	referent
śmiertelniczka	śmiertelnik
dzikuska	dzikus
dziwaczka	dziwak
sprawozdawczyni	sprawozdawca
wnioskodawczyni	wnioskodawca
inspiratorka	inspirator
informatorka	informator
jurorka	juror
promotorka	promotor
prokuratorka	prokurator
zakładniczka	zakładnik
pieszczocha	pieszczoch
siedmiolatka	siedmiolatek
dwulatka	dwulatek
trzylatka	trzylatek
czterolatka	czterolatek
pięciolatka	pięciolatek
dziewięciolatka	dziewięciolatek
dziesięciolatka	dziesięciolatek
kilkunastolatka	kilkunastolatek
trzynastolatka	trzynastolatek
dziewiętnastolatka	dziewiętnastolatek
jedenastolatka	jedenastolatek
dwunastolatka	dwunastolatek
senatorka	senator
urzędniczka	urzędnik
użytkowniczka	użytkownik
dyskobolka	dyskobol
oszczepniczka	oszczepnik
badmintonistka	badmintonista
baloniarka	baloniarz
bobsleistka	bobsleista
dwuboistka	dwuboista
wieloboistka	wieloboista
dziesięcioboistka	dziesięcioboista
pięcioboistka	pięcioboista
slalomistka	slalomista
trójboistka	trójboista
kadetka	kadet
piłkarka	piłkarz
biedula	biedak
hipokrytka	hipokryta
kosmonautka	kosmonauta
maniaczka	maniak
tłuścioszka	tłuścioch
rozpustnica	rozpustnik
wszetecznica	wszetecznik
lubieżnica	lubieżnik
narzeczona	narzeczony
łajdaczka	łajdak
arcykapłanka	arcykapłan
pątniczka	pątnik
plażowiczka	plażowicz
zwierzchniczka	zwierzchnik
przodownica	przodownik
sterniczka	sternik
grzesznica	grzesznik
ekspedientka	ekspedient
sklepowa	sklepowy
kasjerka	kasjer
faworytka	faworyt
zwyciężczyni	zwycięzca
wysłannica	wysłannik
anglistka	anglista
anglistka	anglista
farmaceutka	farmaceuta
skautka	skaut
spadochroniarka	spadochroniarz
spadochroniarka	spadochroniarz
praprawnuczka	praprawnuk
gorliczanka	gorliczanin
słuchaczka	słuchacz
cukierniczka	cukiernik
Białorusinka	Białorusin
Chaldejka	Chaldejczyk
Kubanka	Kubańczyk
Kurdyjka	Kurd
muzułmanka	muzułmanin
Łemkynia	Łemko
Palestynka	Palestyńczyk
Wołoszka	Wołoch
osadzona	osadzony
kamedułka	kameduła
męczenniczka	męczennik
minorytka	minoryta
pustelnica	pustelnik
służebniczka	służebnik
wizjonerka	wizjoner
adiutantka	adiutant
chlebodawczyni	chlebodawca
góralka	góral
interlokutorka	interlokutor
medyczka	medyk
mentorka	mentor
pracodawczyni	pracodawca
przedmówczyni	przedmówca
respondentka	respondent
spadkodawczyni	spadkodawca
wybawicielka	wybawiciel
wybawczyni	wybawca
zarządczyni	zarządca
pomywaczka	pomywacz
wieszczka	wieszczek
wytwornisia	wytworniś
heretyczka	heretyk
weteranka	weteran
weteranka	weteran
morderczyni	morderca
narkomanka	narkoman
ateistka	ateista
intrygantka	intrygant
trucicielka	truciciel
karlica	karzeł
kusicielka	kusiciel
kusicielka	kusiciel
słonica	słoń
amantka	amant
dietetyczka	dietetyk
germanistka	germanista
germanistka	germanista
instrumentariuszka	instrumentariusz
interpretatorka	interpretator
interpretatorka	interpretator
garderobiana	garderobiany
kryminalistka	kryminalista
sekserka	sekser
zbrodniarka	zbrodniarz
zdrajczyni	zdrajca
zdrajczyni	zdrajca
Metyska	Metys
denatka	denat
egocentryczka	egocentryk
histeryczka	histeryk
idealistka	idealista
idealistka	idealista
romantyczka	romantyk
romantyczka	romantyk
szynkarka	szynkarz
przestępczyni	przestępca
kowbojka	kowboj
cieszynianka	cieszynianin
dżokejka	dżokej
fanatyczka	fanatyk
fanatyczka	fanatyk
demokratka	demokrata
dentystka	dentysta
dłużniczka	dłużnik
beginka	begard
kioskarka	kioskarz
kochaneczka	kochaneczek
kolekcjonerka	kolekcjoner
komornica	komornik
konduktorka	konduktor
konsjerżka	konsjerż
kontrolerka	kontroler
wyspiarka	wyspiarz
inwalidka	inwalida
bezwstydnica	bezwstydnik
kangurzyca	kangur
trzydziestolatka	trzydziestolatek
chemiczka	chemik
chemiczka	chemik
ignorantka	ignorant
skarbniczka	skarbnik
Czerkieska	Czerkies
Helwetka	Helweta
sukcesorka	sukcesor
sukcesorka	sukcesor
imigrantka	imigrant
mleczarka	mleczarz
doktorka	doktór
doktorka	doktor
doktorka	doktor
uczennica	uczeń
uczennica	uczeń
palaczka	palacz
paryżanka	paryżanin
liliputka	liliput
samotnica	samotnik
pijaczka	pijak
poszukiwaczka	poszukiwacz
samobójczyni	samobójca
złodziejka	złodziej
współtwórczyni	współtwórca
nadzorczyni	nadzorca
płaczka	płaczek
tanecznica	tanecznik
źrebica	źrebiec
Mazowszanka	Mazowszanin
napastniczka	napastnik
napastniczka	napastnik
Afganka	Afgan
kronikarka	kronikarz
kronikarka	kronikarz
kalwinka	kalwin
humanistka	humanista
humanistka	humanista
latawica	latawiec
nędznica	nędznik
prostaczka	prostak
snobka	snob
spryciara	spryciarz
wielbłądzica	wielbłąd
Andorka	Andorczyk
utrzymanka	utrzymanek
radczyni	radca
Portugalka	Portugalczyk
