agentka	agent
prawoznawczyni	prawoznawca
kamieniczniczka	kamienicznik
kombatantka	kombatant
kombatantka	kombatant
rutyniara	rutyniarz
rutyniara	rutyniarz
wyjadaczka	wyjadacz
komiczka	komik
komiczka	komik
komiczka	komik
kompilatorka	kompilator
kostiumerka	kostiumer
lakierniczka	lakiernik
luzaczka	luzak
luzaczka	luzak
masonka	mason
neofaszystka	neofaszysta
neofaszystka	neofaszysta
prawosławna	prawosławny
prymistka	prymista
reemigrantka	reemigrant
rutenistka	rutenista
slawistka	slawista
słowianoznawczyni	słowianoznawca
sodomitka	sodomita
nienormalna	nienormalny
pomylona	pomylony
subskrybentka	subskrybent
suplikantka	suplikant
wiceszefowa	wiceszef
baletmistrzyni	baletmistrz
tancmistrzyni	tancmistrz
ceperka	ceper
gapowiczka	gapowicz
interwenientka	interwenient
interwentka	interwent
introwertyczka	introwertyk
kantyniarka	kantyniarz
laburzystka	laburzysta
metodyczka	metodyk
moderatorka	moderator
moderatorka	moderator
najemczyni	najemca
poskromicielka	poskromiciel
poskromicielka	poskromiciel
poskramiaczka	poskramiacz
rozkazodawczyni	rozkazodawca
rządczyni	rządca
seksistka	seksista
starokatoliczka	starokatolik
surrealistka	surrealista
taoistka	taoista
tekstylna	tekstylny
trapistka	trapista
tupeciara	tupeciarz
współsprawczyni	współsprawca
małpiszonka	małpiszon
wystawczyni	wystawca
eurosceptyczka	eurosceptyk
farmerka	farmer
fiksatka	fiksat
gazeciarka	gazeciarz
gloryfikatorka	gloryfikator
glosatorka	glosator
glosatorka	glosator
gołębiarka	gołębiarz
gramatyczka	gramatyk
hebraistka	hebraista
heteroseksualistka	heteroseksualista
karaitka	karaita
Karaimka	Karaim
Karaitka	Karaita
karaimka	karaim
konstruktorka	konstruktor
kontrrewolucjonistka	kontrrewolucjonista
perukarka	perukarz
poligamistka	poligamista
przodowniczka	przodownik
przodowniczka pracy	przodownik pracy
żniwiarka	żniwiarz
przywłaszczycielka	przywłaszczyciel
rekistka	rekista
szowinistka	szowinista
szowinistka	szowinista
uchodźczyni	uchodźca
uniwersalistka	uniwersalista
uniwersalistka	uniwersalista
urbanistka	urbanista
cyniczka	cynik
darwinistka	darwinista
elektromonterka	elektromonter
esperantystka	esperantysta
esperantystka	esperantysta
instygatorka	instygator
iranistka	iranista
kolaborantka	kolaborant
komorniczka	komornik
komorniczka	komornik
koziarka	koziarz
koziarka	koziarz
muzyczka	muzyk
kraulistka	kraulista
krupierka	krupier
krzywdzicielka	krzywdziciel
maksymalistka	maksymalista
maksymalistka	maksymalista
marksistka	marksista
maruderka	maruder
miliarderka	miliarder
multimilionerka	multimilioner
obieżyświatka	obieżyświat
paralotniarka	paralotniarz
lotniarka	lotniarz
protetyczka	protetyk
protetyczka	protetyk
stomatolożka	stomatolog
reflektantka	reflektant
sentymentalistka	sentymentalista
sentymentalistka	sentymentalista
syndykalistka	syndykalista
szaradzistka	szaradzista
utrakwistka	utrakwista
winiarka	winiarz
zawistnica	zawistnik
łodzianka	łodzianin
antyfaszystka	antyfaszysta
doliniarka	doliniarz
druciarka	druciarz
estetka	esteta
falangistka	falangista
fonetyczka	fonetyk
graczka	gracz
hipnotyzerka	hipnotyzer
jezuitka	jezuita
kaletniczka	kaletnik
kokilarka	kokilarz
krytykantka	krytykant
mandatariuszka	mandatariusz
pochlebczyni	pochlebca
półanalfabetka	półanalfabeta
półanalfabetka	półanalfabeta
siedemdziesięciolatka	siedemdziesięciolatek
sygnatariuszka	sygnatariusz
sygnatariuszka	sygnatariusz
torunianka	torunianin
tradycjonalistka	tradycjonalista
wyborczyni	wyborca
wycieczkowiczka	wycieczkowicz
faktorka	faktor
golaska	golas
hungarystka	hungarysta
improwizatorka	improwizator
improwizatorka	improwizator
katastrofistka	katastrofista
katastrofistka	katastrofista
katechumenka	katechumen
kontrkandydatka	kontrkandydat
minimalistka	minimalista
minimalistka	minimalista
mormonka	mormon
multimiliarderka	multimiliarder
oferentka	oferent
ósmoklasistka	ósmoklasista
paskarka	paskarz
probantka	probant
probantka	probant
świntucha	świntuch
wstręciucha	wstręciuch
wygodnicka	wygodnicki
złotniczka	złotnik
jubilerka	jubiler
deputowana	deputowany
deputantka	deputat
hobbistka	hobbista
inwestorka	inwestor
japonistka	japonista
królobójczyni	królobójca
maronitka	maronita
megalomanka	megaloman
militarystka	militarysta
miniaturzystka	miniaturzysta
nieznajoma	nieznajomy
obca	obcy
pedofilka	pedofil
pieniaczka	pieniacz
populistka	populista
retuszerka	retuszer
retuszerka	retuszer
graficzka	grafik
sceptyczka	sceptyk
skrupulantka	skrupulant
systematyczka	systematyk
szybkobiegaczka	szybkobiegacz
urlopowiczka	urlopowicz
ateuszka	ateusz
familiantka	familiant
gorzelniczka	gorzelnik
gorzelniczka	gorzelnik
imitatorka	imitator
instalatorka	instalator
instalatorka	instalator
kreatorka	kreator
podchorąża	podchorąży
podróżna	podróżny
prezbiterianka	prezbiterianin
rebeliantka	rebeliant
rottweilerka	rottweiler
chartka	chart
dromaderka	dromader
folblutka	folblut
mopsica	mops
seterka	seter
inwigilatorka	inwigilator
niterka	niter
gałganica	gałgan
ratlerka	ratler
partnerka	partner
partnerka	partner
zastępowa	zastępowy
karierka	karier
straganówka	straganowiec
szwaczka	szwacz
śluzowa	śluzowy
łowczyni	łowca
gościówa	gość
kolesiówa	koleś
kolesiana	koleś
klientka	klient
dekoratorka wnętrz	dekorator wnętrz
wędrowniczka	wędrownik
siódmoklasistka	siódmoklasista
tancerka	tancerz
tańcownica	tańcownik
ukoicielka	ukoiciel
koicielka	koiciel
tępicielka	tępiciel
obrażalska	obrażalski
kociara	kociarz
pojmana	pojmany
ankietowana	ankietowany
meliniarka	meliniarz
czatowniczka	czatownik
nowelizatorka	nowelizator
sztajmeska	sztajmes
niewolniczka	niewolnik
gotka	got
stara	stary
frustratka	frustrat
rozgłosicielka	rozgłosiciel
rozkrzewicielka	rozkrzewiciel
sprawicielka	sprawiciel
pokrzepicielka	pokrzepiciel
balowiczka	balowicz
balowiczka	balowicz
filomatka	filomata
karmelarka	karmelarz
konwencjonalistka	konwencjonalista
liberalistka	liberalista
liberalistka	liberalista
lobbistka	lobbista
lobbystka	lobbysta
erkaemistka	erkaemista
humanitarystka	humanitarysta
dywizjonistka	dywizjonista
akcydensistka	akcydensista
dypsomaniaczka	dypsomaniak
dypsomanka	dypsoman
taksonomistka	taksonomista
sintoistka	sintoista
szintoistka	szintoista
shintoistka	shintoista
gestykulatorka	gestykulator
kognatka	kognat
dywaniarka	dywaniarz
ergonomistka	ergonomista
humanizatorka	humanizator
kantorzystka	kantorzysta
drogistka	drogista
drogerzystka	drogerzysta
kuplecistka	kuplecista
sorabistka	sorabista
prohibicjonistka	prohibicjonista
gobeliniarka	gobeliniarz
hiperrealistka	hiperrealista
kultystka	kultysta
gongorystka	gongorysta
dysertantka	dysertant
fakturzystka	fakturzysta
odbiorczyni	odbiorca
Kongijka	Kongijczyk
Kamerunka	Kameruńczyk
Nubijka	Nubijczyk
fałszerka	fałszerz
falsyfikatorka	falsyfikator
podrabiaczka	podrabiacz
synobójczyni	synobójca
mazurzystka	mazurzysta
kuma	kum
wrotkarka	wrotkarz
pani	pan
pani	pan
ekspartnerka	ekspartner
kochanka	kochanek
pacholica	pachołek
imprezowiczka	imprezowicz
polerowniczka	polerownik
mulica	muł
reżimówka	reżimowiec
reżymówka	reżymowiec
balownica	balownik
Azjatka	Azjata
łobuziara	łobuziak
niewolnica	niewolnik
numerantka	numerant
łachmaniara	łachmaniarz
wyrobniczka	wyrobnik
outsiderka	outsider
outsiderka	outsider
republikanka	republikanin
awanturnica	awanturnik
cyganicha	cygan
oszustka	oszust
kanciara	kanciarz
bezbożnica	bezbożnik
furiatka	furiat
raptuska	raptus
cholernica	cholernik
nerwuska	nerwus
robotniczka	robotnik
fizyczka	fizyk
pionierka	pionier
Maltanka	Maltańczyk
pomocnica	pomocnik
realistka	realista
eksponentka	eksponent
sędzia	sędzia
sędzia	sędzia
przodownica pracy	przodownik pracy
alterglobalistka	alterglobalista
polonistka	polonista
muzyczka	muzyk
motornicza	motorniczy
pracownica biurowa	pracownik biurowy
psorka	psor
rugbystka	rugbysta
rozrabiara	rozrabiaka
patronka	patron
rzeczniczka	rzecznik
islamistka	islamista
najemniczka	najemnik
kaskaderka	kaskader
odstępczyni	odstępca
kuratorka	kurator
trapezistka	trapezista
zabugolka	zabugol
tułaczka	tułacz
akolitka	akolita
prozatorka	prozator
panikara	panikarz
plastyczka	plastyk
bajerantka	bajerant
pracownica służby zdrowia	pracownik służby zdrowia
metalówa	metalowiec
metalówka	metalowiec
pięćdziesięciolatka	pięćdziesięciolatek
szpitalnica	szpitalnik
pingwinica	pingwin
kanarzyca	kanar
kumoszka	kumoter
Zabużanka	Zabużanin
Kresowianka	Kresowianin
jakszini	jaksza
podejrzana	podejrzany
mężyna	mąż
szaradzistka	szaradzista
konsultantka	konsultant
posterunkowa	posterunkowy
Tunezyjka	Tunezyjczyk
Marokanka	Marokańczyk
Kolumbijka	Kolumbijczyk
Meksykanka	Meksykanin
trzydziestoparolatka	trzydziestoparolatek
żyrardowianka	żyrardowianin
szatanica	szatan
sznaucerka	sznaucer
chojnowianka	chojnowianin
szpiegówka	szpieg
szelmutka	szelma
transwestytka	transwestyta
kasjerka	kasjer
upiornica	upiór
siwka	siwek
wajdelotka	wajdelota
weganka	weganin
Bawarka	Bawarczyk
głuszka	głuszec
głuszyca	głuszec
skąpica	skąpiec
strzelczyni	strzelec
socjuszka	socjusz
zbawczyni	zbawca
zbawicielka	zbawiciel
potwora	potwór
pokuśnica	pokuśnik
spanielka	spaniel
pośrednica	pośrednik
posłannica	posłannik
sercanka	sercanin
pachciarka	pachciarz
baronessa	baron
widzka	widz
zetempówka	zetempowiec
prawodawczyni	prawodawca
ryżanka	ryżanin
ministerka	minister
śmierdziucha	śmierdziuch
nikczemnica	nikczemnik
moskwianka	moskwianin
moskwiczanka	moskwiczanin
pasjonistka	pasjonista
monogamistka	monogamista
znajdka	znajdek
krojczyni	krojczy
penitencjarystka	penitencjarysta
krupiarka	krupiarz
łapaczka	łapacz
wróbliczka	wróbel
wróżycha	wróż
wróblica	wróbel
wilczyca	wilk
słonica	słoń
jamniczka	jamnik
pudliczka	pudel
luteranka	luteranin
neapolitanka	neapolitańczyk
posłusznica	posłusznik
plebejka	plebejusz
plebejka	plebejusz
szylkretka	szylkret
tricolorka	tricolor
zuchenka	zuch
stelmaszka	stelmach
luterka	luteranin
hawanka	hawańczyk
heroinistka	heroinista
tytanka	tytan
tytanida	tytan
współzawodnica	współzawodnik
dwudziestoparolatka	dwudziestoparolatek
prowincjałka	prowincjał
inkwizytorka	inkwizytor
pekinka	pekińczyk
jeźdźczyni	jeździec
szczeniara	szczeniak
kawalarka	kawalarz
farciara	farciarz
kijowianka	kijowianin
kabotynka	kabotyn
klasyczka	klasyk
klasyczka	klasyk
kamratka	kamrat
demonka	demon
budapesztenka	budapeszteńczyk
budapesztanka	budapesztańczyk
ceglarka	ceglarz
chałupnica	chałupnik
chałupnica	chałupnik
chełmianka	chełmianin
konwertytka	konwertyta
domownica	domownik
grodziszczanka	grodziszczanin
fizylierka	fizylier
folksdojczka	folksdojcz
Tyrolka	Tyrolczyk
dziesiętniczka	dziesiętnik
gazdyni	gazda
gazdynia	gazda
cieciorka	ciecier
Dominikanka	Dominikańczyk
gimnazistka	gimnazista
rajzerka	rajzer
tarnowianka	tarnowianin
refrenistka	refrenista
rezerwistka	rezerwista
bizneswoman	biznesmen
apostołka	apostoł
hetmanka	hetman
Tyrolka	Tyrolczyk
rozkosznica	rozkosznik
łosica	łoś
rybiarka	rybiarz
maniaczka	maniak
dłużniczka	dłużnik
obrończyni	obrońca
jogini	jogin
florentynka	florentyńczyk
krajanka	krajan
stara	stary
piłkarka ręczna	piłkarz ręczny
rzeźniczka	rzeźnik
Szwabka	Szwab
mistrzyni	mistrz
anglistka	anglista
rusycystka	rusycysta
germanistka	germanista
kronikarka	kronikarz
humanistka	humanista
droga	drogi
Pasztunka	Pasztun
jankeska	jankes
nowojorczanka	nowojorczyk
Nowojorczanka	Nowojorczyk
andorka	andorczyk
Flamandka	Flamand
Brunejka	Brunejczyk
Czarnogórka	Czarnogórzec
prażanka	prażanin
pilźnianka	pilźnianin
Koptyjka	Kopt
Finlandka	Finlandczyk
Ghanka	Ghańczyk
Ghanijka	Ghańczyk
Kretenka	Kreteńczyk
atenka	ateńczyk
Atenka	Ateńczyk
Adżarka	Adżar
Galisyjka	Galisyjczyk
Persjanka	Pers
Persyjka	Pers
Jawanka	Jawańczyk
Papuaska	Papuas
Inguszka	Ingusz
dublinka	dublińczyk
Aszkenazyjka	Aszkenazyjczyk
Aszkenazka	Aszkenazyjczyk
tokijka	tokijczyk
Jemenka	Jemeńczyk
Kirgizka	Kirgiz
Koreanka	Koreańczyk
Koreanka	Koreańczyk
Luksemburka	Luksemburczyk
Macedonka	Macedończyk
Zagórzanka	Zagórzanin
meksykanka	meksykanin
Łużyczanka	Łużyczanin
monachijka	monachijczyk
essenka	esseńczyk
berlinka	berlińczyk
bamberka	bamber
Pakistanka	Pakistańczyk
Lechitka	Lechita
Wołynianka	Wołynianin
Podlasiaczka	Podlasiak
Kurpianka	Kurp
Lasowiaczka	Lasowiak
Babiogórka	Babiogórzec
lizbonka	lizbończyk
Sybiraczka	Sybirak
Tajka	Taj
Tamilka	Tamil
Turczynka	Turek
Kozaczka	Kozak
zaporożanka	zaporożanin
wenecjanka	wenecjanin
mediolanka	mediolańczyk
Łotewka	Łotysz
Azteczka	Aztek
Inkaska	Inkas
Prusaczka	Prusak
Hellenka	Hellen
Achajka	Achaj
Trojanka	Trojanin
abderytka	abderyta
Kartaginka	Kartagińczyk
bełchatowianka	bełchatowianin
białostoczanka	białostoczanin
bochnianka	bochnianin
Adygejka	Adygejczyk
bostonka	bostończyk
bytomianka	bytomianin
czchowianka	czchowianin
drohobyczanka	drohobyczanin
dąbrowianka	dąbrowianin
gliwiczanka	gliwiczanin
gorzowianka	gorzowianin
grudziądzanka	grudziądzanin
jarosławianka	jarosławianin
jaślanka	jaślanin
kaliszanka	kaliszanin
krośnianka	krośnianin
kryniczanka	kryniczanin
libiążanka	libiążanin
londynka	londyńczyk
mantuanka	mantuańczyk
mińszczanka	mińszczanin
niepołomiczanka	niepołomiczanin
nowosądeczanka	nowosądeczanin
opolanka	opolanin
ostrowianka	ostrowianin
piwniczanka	piwniczanin
przemyślanka	przemyślanin
rabczanka	rabczanin
sanoczanka	sanoczanin
skierniewiczanka	skierniewiczanin
sosnowczanka	sosnowczanin
szczawniczanka	szczawniczanin
sławkowianka	sławkowianin
słupszczanka	słupszczanin
tarnogórzanka	tarnogórzanin
trzebinianka	trzebinianin
tyszanka	tyszanin
wałbrzyszanka	wałbrzyszanin
wilnianka	wilnianin
wiślanka	wiślanin
zielonogórzanka	zielonogórzanin
łowiczanka	łowiczanin
żywczanka	żywczanin
Baszkirka	Baszkir
Czeczenka	Czeczen
Dalmatka	Dalmata
Eskimoska	Eskimos
Ewenkijka	Ewenk
Ewenka	Ewenk
Galicjanka	Galicjanin
Kaszubka	Kaszub
Słowinka	Słowiniec
Nanajka	Nanaj
Skandynawka	Skandynaw
Tunguzka	Tunguz
Hucułka	Hucuł
Żmudzinka	Żmudzin
Lewantynka	Lewantyńczyk
Saracenka	Saracen
Aramejka	Aramejczyk
Asyryjka	Asyryjczyk
Hebrajka	Hebrajczyk
Sumeryjka	Sumer
Burka	Bur
Berberyjka	Berber
Hotentotka	Hotentot
Zuluska	Zulus
Apaczka	Apacz
Czejenka	Czejen
Czirokezka	Czirokez
Huronka	Huron
Irokezka	Irokez
Komanczka	Komancz
Mohikanka	Mohikanin
Siuksyjka	Siuks
Tasmanka	Tasmańczyk
Karaczajka	Karaczaj
Kazaszka	Kazach
Khmerka	Khmer
Jukagirka	Jukagir
Drawidyjka	Drawida
Celtyjka	Celt
Etruska	Etrusk
Fryzyjka	Fryz
wolna słuchaczka	wolny słuchacz
towarzyszka broni	towarzysz broni
pierwsza sekretarz	pierwszy sekretarz
Gagauzka	Gagauz
Krakowianka	Krakowiak
Kreolka	Kreol
Maja	Maj
Majanka	Maj
rzecznik prasowa	rzecznik prasowy
sługa Boża	Sługa Boży
Aryjka	Aryjczyk
Madziarka	Madziar
dzika lokatorka	dziki lokator
Rusinka	Rusin
Galijka	Gal
markietanka	markietan
swawolnica	swawolnik
lwica salonowa	lew salonowy
Czukczyjka	Czukcz
Kuszytka	Kuszyta
Malgaszka	Malgasz
Masajka	Masaj
Sundajka	Sundajczyk
charyzmatyczka	charyzmatyk
Numidyjka	Numida
Greczynka	Grek
Beotka	Beota
Lakonka	Lakończyk
krewna	krewny
kuzynka	kuzyn
Abchazka	Abchaz
Czuwaszka	Czuwasz
Dagestanka	Dagestańczyk
Jakutka	Jakut
Karelka	Karel
Singapurka	Singapurczyk
Udmurtyjka	Udmurta
Angolka	Angolczyk
Saudyjka	Saudyjczyk
Arabka Saudyjska	Arab Saudyjski
Antiguanka	Antiguańczyk
Australijka	Australijczyk
Bahamka	Bahamczyk
Bahrajnka	Bahrajńczyk
Banglijka	Banglijczyk
Barbadoska	Barbadoszczyk
Barbadosyjka	Barbadosyjczyk
Belizenka	Belizeńczyk
Beninka	Benińczyk
Bhutanka	Bhutańczyk
Birmanka	Birmańczyk
Boliwijka	Boliwijczyk
Botswanka	Botswańczyk
Burundyjka	Burundyjczyk
Chilijka	Chilijczyk
Czadyjka	Czadyjczyk
Dominiczanka	Dominiczanin
Dżibutka	Dżibutczyk
Ekwadorka	Ekwadorczyk
Erytrejka	Erytrejczyk
Fidżijka	Fidżijczyk
Filipinka	Filipińczyk
Gabonka	Gabończyk
Gambijka	Gambijczyk
Grenadyjka	Grenadyjczyk
Gujanka	Gujańczyk
Gwatemalka	Gwatemalczyk
Haitanka	Haitańczyk
festiwalowiczka	festiwalowicz
krykiecistka	krykiecista
woodstockowiczka	woodstockowicz
frutarianka	frutarianin
witarianka	witarianin
owowegetarianka	owowegetarianin
laktowegetarianka	laktowegetarianin
laktoowowegetarianka	laktoowowegetarianin
owolaktarianka	owolaktarianin
freeganka	freeganin
semiwegetarianka	semiwegetarianin
Honduranka	Honduranin
Honduraska	Honduraszczyk
Jordanka	Jordańczyk
Kambodżanka	Kambodżanin
Katarka	Katarczyk
Kiribatyjka	Kiribatyjczyk
Komoryjka	Komoryjczyk
Kostarykanka	Kostarykanin
Kuwejtka	Kuwejtczyk
Laotanka	Laotańczyk
Laosyjka	Laosyjczyk
Sotyjka	Sotyjczyk
Lesotyjka	Lesotyjczyk
Liberyjka	Liberyjczyk
Kampuczanka	Kampuczanin
Madagaskarka	Madagaskarczyk
Malawijka	Malawijczyk
Malediwka	Malediwczyk
Malijka	Malijczyk
Mauretanka	Mauretańczyk
Maurytyjka	Maurytyjczyk
Mikronezyjka	Mikronezyjczyk
Mongołka	Mongoł
Mozambijka	Mozambijczyk
Namibijka	Namibijczyk
Nauranka	Naurańczyk
Nepalka	Nepalczyk
Nigerka	Nigerczyk
pracoholiczka	pracoholik
Nigeryjka	Nigeryjczyk
Nikaraguanka	Nikaraguańczyk
Nowozelandka	Nowozelandczyk
Omanka	Omańczyk
Panamka	Panamczyk
Papuanka	Papuańczyk
Paragwajka	Paragwajczyk
Peruwianka	Peruwianin
Portorykanka	Portorykańczyk
Południowoafrykanka	Południowoafrykańczyk
Rodezyjka	Rodezyjczyk
poliamoryczka	poliamoryk
couchsurferka	couchsurfer
zmiennistka	zmiennista
zakupoholiczka	zakupoholik
ortorektyczka	ortorektyk
bigorektyczka	bigorektyk
Ruandyjka	Ruandyjczyk
Rwandyjka	Rwandyjczyk
Salwadorka	Salwadorczyk
Samoanka	Samoańczyk
Sanmarynka	Sanmaryńczyk
sanmarynka	sanmaryńczyk
dakarka	dakarczyk
Senegalka	Senegalczyk
Seszelka	Seszelczyk
Somalijka	Somalijczyk
Lankijka	Lankijczyk
Suazyjka	Suazyjczyk
Sudanka	Sudańczyk
Surinamka	Surinamczyk
Syryjka	Syryjczyk
Tadżyjka	Tadżyk
Tajwanka	Tajwańczyk
Tanzanka	Tanzańczyk
Togijka	Togijczyk
Tongijka	Tongijczyk
Trynidadka	Trynidadczyk
Turkmenka	Turkmen
trzeźwa	trzeźwy
pijana	pijany
Ugandyjka	Ugandyjczyk
Urugwajka	Urugwajczyk
Borowiaczka	Borowiak
Uzbeczka	Uzbek
Uzbijka	Uzbek
Wenezuelka	Wenezuelczyk
Zairka	Zairczyk
Zambijka	Zambijczyk
alwernianka	alwernianin
augustowianka	augustowianin
iłżanka	iłżanin
strumienianka	strumienianin
baranowianka	baranowianin
barcinianka	barcinianin
bartoszyczanka	bartoszyczanin
białogardzianka	białogardzianin
bieczanka	bieczanin
bielawianka	bielawianin
bierunianka	bierunianin
biłgorajka	biłgorajczyk
bobowianka	bobowianin
bogatynianka	bogatynianin
krejzolka	krejzol
bojanowianka	bojanowianin
bolesławczanka	bolesławczanin
braniewianka	braniewianin
brańszczanka	brańszczanin
brodniczanka	brodniczanin
brzeżanka	brzeżanin
brzezinianka	brzezinianin
brześcianka	brześcianin
bukownianka	bukownianin
buszczanka	buszczanin
bychawianka	bychawianin
bytowianka	bytowianin
będzinianka	będzinianin
błażowianka	błażowianin
błonianka	błonianin
fornalka	fornal
Saracenka	Saracen
łyżwiarka szybka	łyżwiarz szybki
katorżniczka	katorżnik
nastawnicza	nastawniczy
biała	biały
służebna	służebny
naczelna	naczelny
nowa	nowy
młoda	młody
mała	mały
znajoma z widzenia	znajomy z widzenia
świadkowa	świadek
jedyna	jedyny
