skupiać się|koncentrować się	skupiony
namakać|namiękać|nasączać się|namaczać się	mokry
zadowalać się	zadowolony|rad
spłukiwać się|wyczyszczać się	spłukany|goły|goły i wesoły
zaczerniać się	czarny
zaczerniać się|czernieć|zaciemniać się	ciemniejszy
rozbłękitniać się	błękitny
przejaśniać się|rozjaśniać się	zrozumiały|przystępny|jasny|klarowny|przejrzysty
kędzierzawieć|kędzierzawić się	kędzierzawy
plątać się|gmatwać się|motać się|wikłać się	splątany|poplątany|pogmatwany|zamotany
zaplątywać się|zapętlać się	zaplątany|zapętlony
supłać się|zasupływać się|zawęźlać się	zasupłany|zawęźlony
zachrypieć|zachrypnąć	zachrypły|zachrypnięty
wysychać	pusty|próżny|nienapełniony
rozgadywać się	gadatliwy|rozgadany
kruszeć	kruchy
linieć|lenić się	wyliniały|wyleniały
kosmopolityzować się	kosmopolityczny
zaskorupiać się|skorupieć	zaskorupiały|zeskorupiały
zaskorupiać się|skorupieć	zaskorupiały|zeskorupiały
słabnąć|wątleć	wątły|słaby
wariować	nienormalny|obłąkaniec|pomyleniec|pomylony|szaleniec|wariat|chory na głowę
