dereniowy	dereń
glukozowy	glukoza
glutaminowy	glutamina
gnejsowy	gnejs
firnowy	firn
firnowy	firn
krokodyli	krokodyl
krokodylowy	krokodyl
gadzi	gad
rysi	ryś
łosi	łoś
ziemniaczany	ziemniak
kartoflany	kartofel
klejowy	klej
koprowy	kopr
magmatyczny	magma
magmowy	magma
jaglany	kasza jaglana
magnezjowy	magnezja palona
magnezowy	magnez
makroelementowy	makroelement
cynkowy	cynk
magnezowy	magnez
manganowy	mangan
karpiowy	karp
sandaczowy	sandacz
łososiowy	łosoś
marchwiowy	marchew
marchwiany	marchew
kasztanowy	kasztan
kasztanowy	kasztan
kasztanowy	kasztan
miodowy	miód
miodowy	miód
waciany	wata
naftowy	nafta
nawozowy	nawóz
cyjankowy	cyjanek
octowy	ocet
papirusowy	papirus
selerowy	seler naciowy
pokrzywowy	pokrzywa
fosforanowy	fosforan(V)
moczanowy	moczan
szczawianowy	szczawian
amalgamatowy	amalgamat
amalgamatowy	amalgamat
ciasteczkowy	ciasteczko
rosołowy	rosół
stalowy	stal
szlamowy	szlam
teflonowy	teflon
terakotowy	terakota
wapienny	wapień
wapienny	wapno
welinowy	welin
welinowy	welin
żelbetonowy	żelbeton
żelazobetonowy	żelazobeton
żużlowy	żużel
tkankowy	tkanka
chrzęstny	chrząstka
chrząstkowy	chrząstka
kruchy	kruche ciasto
piernikowy	piernik
gąbkowaty	gąbka
popielicowy	popielica
bobowy	bób
granatowy	granat
granatowy	granat
śliwkowy	śliwka
kryształkowy	kryształek
maślany	masło
tytanowy	tytan
buczynowy	buczyna
żelowy	żel
żelatynowy	żelatyna
niemetaliczny	niemetal
sjenitowy	sjenit
diorytowy	dioryt
amoniakowy	amoniak
anyżkowy	anyżek
barytowy	baryt
chlorofilowy	chlorofil
safianowy	safian
lukrowy	lukier
kożuchowy	kożuch
bimetaliczny	bimetal
dranicowy	dranica
tarcicowy	tarcica
tarcicowy	tarcica
selenowy	selen
gabrowy	gabro
karborundowy	karborund
korundowy	korund
kordonkowy	kordonek
foczy	foka
reniferowy	renifer
stalny	stal
źrebięcy	źrebię
źrebięcy	źrebięcina
