kulawy	kulawiec
chudy	chudzina
chudy	chudziak
chudy	chudziątko
cynamonowy	cynamonówka
analogowy	analog
gorliwy	gorliwiec
kapiszonowy	kapiszonowiec
kapiszonowy	kapiszonowiec
modny	modniś
modny	modnisia
komunistyczny	komunista
nieostrożny	nieostrożność
zapominalski	zapominalski
czołowy	czołówka
bezbożny	bezbożnik
nieokrzesany	nieokrzesaniec
nikczemny	nikczemność
podły	podłość
niegodziwy	niegodziwość
roczny	roczniak
asfaltowy	asfaltówka
marcowy	marczak
szalony	szaleniec
zakręcony	zakręt
szczęśliwy	szczęśliwiec
idiotyczny	idiotyzm
zdradziecki	zdradziectwo
zasrany	zasraniec
cebulowy	cebulowa
fasolowy	fasolówka
fasolowy	fasolowa
grochowy	grochówka
grzybowy	grzybowa
jarzynowy	jarzynowa
jarzynowy	jarzynówka
kminkowy	kminkówka
ogórkowy	ogórkówka
ogórkowy	ogórkowa
pieczarkowy	pieczarkowa
pomidorowy	pomidorówka
pomidorowy	pomidorowa
szczawiowy	szczawiówka
szczawiowy	szczawiowa
przegrany	przegraniec
szkolny	szkolarstwo
wsiowy	wsiok
wieśniacki	wieśniak
wariacki	wariactwo
utrapiony	utrapieniec
szkaradny	szkaradnik
świętokradczy	świętokradca
puszczalski	puszczalska
przygłupi	przygłup
przygłupi	przygłupek
okropny	okropieństwo
okropny	okropność
pomylony	pomylony
pomylony	pomyleniec
pomylony	pomyleniec
obrzydliwy	obrzydlistwo
obrzydliwy	obrzydliwość
kasztanowaty	kasztan
rozczochrany	rozczochraniec
niezamężny	niezamężna
postrzelony	postrzeleniec
bezwstydny	bezwstydnik
fanatyczny	fanatyk
ignorancki	ignorant
obrażalski	obrażalski
nienasycony	nienasyceniec
nieudaczny	nieudacznik
nieszczęsny	nieszczęśnik
luzacki	luzak
makiaweliczny	makiawelista
melancholiczny	melancholik
niechlujny	niechluja
niechlujny	niechluj
niegrzeczny	niegrzeczność
uprzejmy	uprzejmość
nieuprzejmy	nieuprzejmość
przyjemny	przyjemniaczek
niezgrabny	niezgrabiasz
niezgrabny	niezgraba
niezdarny	niezdara
obżarty	obżer
obżarty	obżartuch
obżarty	obżarciuch
narwany	narwaniec
maciupki	maciupa
kretyński	kretyństwo
jajogłowy	jajogłowy
milusiński	milusiński
cudaczny	cudaczność
cudaczny	cudaczność
cudaczny	cudaczność
oryginalny	oryginał
kolorowy	kolorowy
biały	białas
biały	biały
upierdliwy	upierdliwiec
zadufany	zadufek
czwartoligowy	czwartoligowiec
drugoligowy	drugoligowiec
pierwszoligowy	pierwszoligowiec
bezmózgi	bezmózg
bezecny	bezecnik
durny	dureń
piekielny	piekielnik
paskudny	paskudnik
ohydny	ohydztwo
paskudny	paskudztwo
paskudny	paskuda
drański	draństwo
dyskretny	dyskretka
dyskretny	dyskretka
dwunogi	dwunóg
hegemonistyczny	hegemon
hegemoniczny	hegemon
jarzębinowy	jarzębinówka
orzechowy	orzechówka
nieżonaty	nieżonaty
dziewięćdziesięcioletni	dziewięćdziesięciolatek
osiemdziesięcioletni	osiemdziesięciolatek
siedemdziesięcioletni	siedemdziesięciolatek
kilkuletni	kilkulatek
paroletni	parolatek
nawiedzony	nawiedzony
roztropny	roztropek
dwukadłubowy	dwukadłubowiec
sześćdziesięcioletni	sześćdziesięciolatek
chuderlawy	chuderlak
czterdziestoletni	czterdziestolatek
długowłosy	długowłosy
obdarty	obdartus
pięćdziesięcioletni	pięćdziesięciolatek
zbójnicki	zbójnicki
bałwochwalczy	bałwochwalca
introwertyczny	introwertyk
prominentny	prominencja
prominentny	prominent
przebojowy	przebojowiec
zatwardziały	zatwardzialec
owsiany	owsianka
chromy	chromy
włochaty	włochacz
włochaty	włochacz
włochaty	włochacz
zjawiskowy	zjawisko
płonny	płonina
psychodeliczny	psychodelik
wybuchowy	wybuchowiec
agrestowy	agrestówka
jabłeczny	jabłecznik
jabłeczny	jabłecznik
jagodowy	jagodówka
jeżynowy	jeżynówka
malinowy	malinówka
porzeczkowy	porzeczkówka
podrzędny	podrzędnik
kolokwialny	kolokwializm
ruski	Rusek
ruski	Ruski
niecodzienny	niecodzienność
pejoratywny	pejoratyw
skoczny	skoczny
drobny	drobiazg
drobny	drobnostka
drobny	drobnica
drobny	drobnica
dereszowaty	dereszowaty
karogniady	karogniady
skarogniady	skarogniady
kudłaty	kudłacz
kudłaty	kudłacz
sferoidalny	sferoid
obszarpany	obszarpaniec
puchowy	puchówka
szowinistyczny	szowinista
służalczy	służalec
przygodowy	przygodówka
cherlawy	cherlawiec
nudny	nudziarz
jasnowidzący	jasnowidzący
opity	opilec
opity	opilca
opity	opijus
opity	opój
rachityczny	rachityk
mierny	miernota
zawadiacki	zawadiaka
bezrolny	bezrolny
małorolny	małorolny
niepiśmienny	niepiśmienny
obcoplemienny	obcoplemieniec
okazjonalny	okazjonalizm
rozpustny	rozpustnik
tautologiczny	tautologizm
czerwonoskóry	czerwonoskóry
czerwonoskóry	czerwony
drobny	drobnica
jędzowaty	jędza
zołzowaty	zołza
wiedźmowaty	wiedźma
kabotyński	kabotyn
wrony	wrony
maluczki	maluczcy
malutki	maluszek
maniacki	maniactwo
nieudały	nieudałota
oberwany	oberwaniec
przedwieczny	przedwieczny
słodki	słodziak
rozkoszny	rozkoszniaczek
przeżyty	przeżytek
wszeteczny	wszetecznik
wytyczny	wytyczna
przyległy	przyległość
żytni	żytniówka
praworęczny	praworęczny
leworęczny	leworęczny
dożywotni	dożywocie
odrapany	odrapaniec
parciany	parcianka
parciany	parcianka
parciany	parcianka
parciany	parciak
parciany	parciaki
szmaciany	szmacianka
szmaciany	szmaciak
szmaciany	szmacianka
czworoboczny	czworobok
uszaty	uszatek
wywrotowy	wywrotowiec
zgniły	zgniłek
składany	składak
zdechły	zdechlina
jednorazowy	jednorazówka
śmiertelny	śmiertelnik
złoty	złotości
eksternistyczny	ekstern
notoryczny	notoryczność
przynależny	przynależność
złośliwy	złośliwość
psotny	psotnik
lubieżny	lubieżnik
marzycielski	marzyciel
obleśny	oblech
szyderczy	szyderca
szyderski	szyderca
uwodzicielski	uwodziciel
zuchowaty	zuch
zalotny	zalotnica
czworonogi	czworonóg
czworonogi	czworonóg
drapieżny	drapieżca
mięsożerny	mięsożerca
padlinożerny	padlinożerca
wielokomórkowy	wielokomórkowiec
wierzchowy	wierzchowiec
wszystkożerny	wszystkożerca
wszystkożerny	wszystkożerca
szarmancki	szarmant
baryłkowaty	baryłka
szkieletowaty	szkielet
pryszczaty	pryszczaty
lisi	lisica
pyzaty	pyza
pyzaty	pyzatek
wolny	wolne
uszczypliwy	uszczypliwość
wniebowzięty	Wniebowzięta
introwertywny	introwertyk
nadwrażliwy	nadwrażliwiec
serdeczny	serdeczności
wielodzietny	wielodzietny
potomny	potomność
tuczny	tucznik
żółty	żółty
ekstrawertyczny	ekstrawertyk
lojalny	lojalista
luźny	luzak
znamienity	znamienitość
nienawistny	nienawistnik
podejrzliwy	podejrzliwiec
łapczywy	łapczywiec
łapczywy	łapczywiec
owadożerny	owadożerca
świeży	świeżyzna
świeży	świeżak
suchy	suchar
suchy	suchar
przeciwny	przeciwnik
siedmioletni	siedmiolatek
przejściowy	przejściówka
zasmarkany	zasmarkaniec
konformistyczny	konformista
oportunistyczny	oportunista
psychopatyczny	psychopata
połamany	połamaniec
czternastoletni	czternastolatek
dwunastoletni	dwunastolatek
dziewięcioletni	dziewięciolatek
dziesięcioletni	dziesięciolatek
dziewiętnastoletni	dziewiętnastolatek
jedenastoletni	jedenastolatek
nastoletni	nastolatek
ośmioletni	ośmiolatek
piętnastoletni	piętnastolatek
szesnastoletni	szesnastolatek
siedemnastoletni	siedemnastolatek
rozpłodowy	rozpłodowiec
sercowy	sercowiec
samozwańczy	samozwaniec
beztlenowy	beztlenowiec
głuchoniemy	głuchoniemy
sześcioletni	sześciolatek
opętany	opętany
wykolejony	wykolejeniec
zgorzkniały	zgorzknialec
cienki	cienias
subiektywny	subiektywista
pesymistyczny	pesymista
optymistyczny	optymista
racjonalny	racjonalista
łaskawy	łaskawca
kudłaty	kudłacz
letni	letniczek
letni	letniczka
maleńki	maleństwo
przyjemny	przyjemność
skrupulatny	skrupulat
skrupulatny	skrupulant
flegmatyczny	flegmatyk
sangwiniczny	sangwinik
żakowski	żakostwo
pomarańczowy	pomarańczówka
średni	średniactwo
wąskotorowy	wąskotorówka
studolarowy	studolarówka
jednokomórkowy	jednokomórkowiec
