1692769	17	1			oi	oja	subst:sg:gen:f
1692311	22	9			by	ba	subst:sg:gen:m1
1692310	198	2			by	ba	subst:sg:gen:f
1692246	246	1			chy	ch	subst:pl:nom:m3
1692245	48	1			chy	ch	subst:pl:nom:m2
1692236	48	1			chy	ch	subst:pl:acc:m2
1692156	36	2			chy	cha	subst:sg:gen:m1
1692155	200	3			chy	cha	subst:sg:gen:f
1691960	557	2			dy	d	subst:pl:nom:m3
1691946	210	1			dy	d	depr:pl:nom:m2
1691930	70	8			dy	da	subst:sg:gen:m1
1691929	660	15			dy	da	subst:sg:gen:f
1691865	215	1			fy	f	subst:pl:nom:m3
1691834	67	2			fy	fa	subst:sg:gen:f
1691679	6	2			hy	ha	subst:sg:gen:f
1691345	22	1			ły	ło	subst:sg:gen:m1
1691334	54	7			ły	ła	subst:sg:gen:m1
1691333	178	1			ły	ła	subst:sg:gen:f
1691320	54	2			ły	ła	depr:pl:nom:m2
1691221	1836	1			my	m	subst:pl:nom:m3
1691220	13	1			my	m	subst:pl:nom:m2
1691212	1836	1			my	m	subst:pl:acc:m3
1691191	19	6			my	ma	subst:sg:gen:m1
1691190	290	4			my	ma	subst:sg:gen:f
1691184	290	2			my	ma	subst:pl:nom:f
1690886	1769	3			ny	n	subst:pl:nom:m3
1690885	258	1			ny	n	subst:pl:nom:m2
1690876	258	2			ny	n	subst:pl:acc:m2
1690856	80	13			ny	na	subst:sg:gen:m1
1690855	2281	44			ny	na	subst:sg:gen:f
1690849	2281	4			ny	na	subst:pl:nom:f
1690842	80	1			ny	na	depr:pl:nom:m2
1690719	379	1			py	p	subst:pl:nom:m3
1690718	39	1			py	p	subst:pl:nom:m2
1690689	19	4			py	pa	subst:sg:gen:m1
1690688	158	4			py	pa	subst:sg:gen:f
1690677	158	1			py	pa	subst:pl:acc:f
1690480	1615	1			ry	r	subst:pl:nom:m3
1690479	235	2			ry	r	subst:pl:nom:m2
1690471	1615	1			ry	r	subst:pl:acc:m3
1690461	2	1			ry	ro	subst:sg:gen:m1
1690450	62	10			ry	ra	subst:sg:gen:m1
1690449	852	19			ry	ra	subst:sg:gen:f
1690337	999	1			sy	s	subst:pl:nom:m3
1690336	220	1			sy	s	subst:pl:nom:m2
1690307	9	7			sy	sa	subst:sg:gen:m1
1690306	168	4			sy	sa	subst:sg:gen:f
1689720	2565	2			ty	t	subst:pl:nom:m3
1689719	240	2			ty	t	subst:pl:nom:m2
1689711	2565	1			ty	t	subst:pl:acc:m3
1689710	240	1			ty	t	subst:pl:acc:m2
1689690	1318	15			ty	ta	subst:sg:gen:m1
1689689	836	9			ty	ta	subst:sg:gen:f
1689678	836	2			ty	ta	subst:pl:acc:f
1689428	22	5			wy	wa	subst:sg:gen:m1
1689427	473	12			wy	wa	subst:sg:gen:f
1689421	473	1			wy	wa	subst:pl:nom:f
1688877	12	2			zy	za	subst:sg:gen:m1
1688876	604	7			zy	za	subst:sg:gen:f
1688870	604	2			zy	za	subst:pl:nom:f
1688407	336	1			gi	g	depr:pl:nom:m2
1688391	34	5			gi	ga	subst:sg:gen:m1
1688390	320	5			gi	ga	subst:sg:gen:f
1688182	1993	1			ki	ek	subst:pl:nom:m3
1688181	557	1			ki	ek	subst:pl:nom:m2
1688173	1993	1			ki	ek	subst:pl:acc:m3
1688168	669	2			ki	ek	depr:pl:nom:m2
1688157	838	3			ki	k	subst:pl:nom:m2
1688149	3292	2			ki	k	subst:pl:acc:m3
1688148	838	2			ki	k	subst:pl:acc:m2
1688144	2059	1			ki	k	depr:pl:nom:m2
1688139	35	16			ki	ko	subst:sg:gen:m1
1688128	82	34			ki	ka	subst:sg:gen:m1
1688127	9083	41			ki	ka	subst:sg:gen:f
1688121	9082	12			ki	ka	subst:pl:nom:f
1688116	9082	4			ki	ka	subst:pl:acc:f
1686003	10	1			cich	ci	subst:pl:gen:m1
1685270	24	1			czych	czy	subst:pl:gen:m1
1684495	2	1			bych	by	subst:pl:gen:m1
1684016	301	2			nych	ny	subst:pl:gen:m1
1683545	86	3			wych	wy	subst:pl:gen:m1
1683132	959	1			kich	ka	subst:pl:gen:f
1683129	70	1			kich	kie	subst:pl:loc:n2
1683117	1055	2			kich	ki	subst:pl:loc:m1
1683114	3	1			kich	ki	subst:pl:gen:m2
1683113	1055	24			kich	ki	subst:pl:gen:m1
1683111	1055	1			kich	ki	subst:pl:acc:m1
1682196	10	1			cim	ci	subst:sg:inst:m1
1681971	37	1			nim	ni	subst:sg:inst:m1
1680625	10	1			dym	dy	subst:sg:inst:m1
1680451	1	2			łym	łe	subst:sg:loc:n1
1680393	10	1			mym	my	subst:sg:inst:m1
1680297	21	1			nym	ny	subst:sg:loc:m3
1680293	25	1			nym	ny	subst:sg:inst:m2
1679932	20	1			tym	ty	subst:sg:loc:m2
1679859	66	1			wym	we	subst:sg:loc:n2
1679850	14	2			wym	wy	subst:sg:loc:m3
1679848	86	1			wym	wy	subst:sg:loc:m1
1679439	1055	6			kim	ki	subst:sg:loc:m1
1679436	1055	27			kim	ki	subst:sg:inst:m1
1679432	1055	2			kim	ki	subst:pl:dat:m1
1676984	59	1			bie	b	subst:sg:voc:m1
1676403	98	1			mie	m	subst:sg:voc:m1
1675978	27	1			sie	ś	subst:pl:nom:m2
1675398	104	7			le	l	subst:pl:nom:m2
1675397	151	1			le	l	subst:pl:nom:m1
1675394	104	1			le	l	subst:pl:acc:m2
1675182	188	1			ńce	niec	depr:pl:nom:m2
1675173	420	3			ce	iec	subst:pl:nom:m2
1675166	534	1			ce	iec	depr:pl:nom:m2
1675139	13	1			ce	c	subst:pl:nom:f
1675090	1469	2			ce	ca	subst:pl:nom:f
1674943	870	1			cze	cz	subst:pl:nom:m3
1674942	162	1			cze	cz	subst:pl:nom:m2
1674941	736	6			cze	cz	subst:pl:nom:m1
1674939	870	1			cze	cz	subst:pl:acc:m3
1674231	1793	2			rze	rz	subst:pl:nom:m1
1671323	21	1			ne	ny	subst:pl:acc:m3
1669618	959	1			kie	ka	subst:pl:nom:f
1669575	54	1			kie	ki	subst:pl:nom:m3
1669570	1055	1			kie	ki	depr:pl:nom:m2
1668183	166	1			zje	zja	subst:pl:nom:f
1667957	5	1			biego	bi	subst:sg:gen:m1
1667955	5	1			biego	bi	subst:sg:acc:m1
1667925	10	1			ciego	ci	subst:sg:gen:m1
1667859	4	1			fiego	fi	subst:sg:gen:m1
1667842	2	1			miego	mi	subst:sg:gen:m1
1667790	37	10			niego	ni	subst:sg:gen:m1
1667751	2	2			siego	si	subst:sg:gen:m1
1667623	21	4			lego	li	subst:sg:gen:m1
1667621	21	1			lego	li	subst:sg:acc:m1
1667549	99	2			cego	cy	subst:sg:gen:m1
1667547	99	1			cego	cy	subst:sg:acc:m1
1667459	1	3			dzego	dze	subst:sg:gen:m1
1667233	7	1			żego	ży	subst:sg:gen:m1
1667231	7	2			żego	ży	subst:sg:acc:m1
1666991	2	1			bego	be	subst:sg:acc:m1
1666874	2	1			hego	he	subst:sg:gen:m1
1666804	26	3			łego	ły	subst:sg:gen:m1
1666716	112	3			nego	ne	subst:sg:gen:n2
1666714	8	1			nego	ne	subst:sg:gen:m1
1666713	8	1			nego	ne	subst:sg:acc:m1
1666710	301	7			nego	ny	subst:sg:gen:m1
1666708	301	1			nego	ny	subst:sg:acc:m1
1666635	2	3			rego	re	subst:sg:gen:m1
1666631	26	8			rego	ry	subst:sg:gen:m1
1666604	6	1			sego	sy	subst:sg:gen:m1
1666602	6	1			sego	sy	subst:sg:acc:m1
1666489	5	1			tego	te	subst:sg:acc:m1
1666487	20	3			tego	ty	subst:sg:gen:m2
1666486	35	2			tego	ty	subst:sg:gen:m1
1666443	66	1			wego	we	subst:sg:gen:n2
1666437	86	2			wego	wy	subst:sg:gen:m1
1666300	13	2			zego	zy	subst:sg:gen:m1
1666238	2	2			giego	gi	subst:sg:gen:m1
1666192	70	1			kiego	kie	subst:sg:gen:n2
1666188	54	2			kiego	ki	subst:sg:gen:m3
1666186	1055	201			kiego	ki	subst:sg:gen:m1
1666184	1055	70			kiego	ki	subst:sg:acc:m1
1666139	2	1			oego	oe	subst:sg:gen:m1
1666138	2	1			oego	oe	subst:sg:acc:m1
1666065	9	1			diego	di	subst:sg:gen:m1
1665933	4	3			riego	ri	subst:sg:gen:m1
1665931	4	1			riego	ri	subst:sg:acc:m1
1665921	11	5			tiego	ti	subst:sg:gen:m1
1665746	1	1			ciej	cia	subst:sg:gen:f
1665731	6	1			niej	nia	subst:sg:gen:f
1665705	2	2			czej	cza	subst:sg:loc:f
1665681	8	2			szej	sza	subst:sg:loc:f
1665618	23	3			łej	ła	subst:sg:loc:f
1665612	282	12			nej	na	subst:sg:loc:f
1665611	282	7			nej	na	subst:sg:gen:f
1665610	282	1			nej	na	subst:sg:dat:f
1665606	6	1			rej	ra	subst:sg:loc:f
1665605	6	1			rej	ra	subst:sg:gen:f
1665590	36	2			tej	ta	subst:sg:gen:f
1665585	182	5			wej	wa	subst:sg:loc:f
1665584	182	13			wej	wa	subst:sg:gen:f
1665583	182	4			wej	wa	subst:sg:dat:f
1665561	959	7			kiej	ka	subst:sg:loc:f
1665560	959	46			kiej	ka	subst:sg:gen:f
1665559	959	6			kiej	ka	subst:sg:dat:f
1665516	12	3			ciem	ć	subst:sg:inst:m1
1665503	2	1			dziem	dź	subst:sg:inst:m1
1665421	27	1			niem	ń	subst:sg:inst:m1
1665417	24	1			niem	nio	subst:sg:inst:m1
1665415	1858	2			niem	nie	subst:sg:inst:n2
1665393	27	1			siem	ś	subst:sg:inst:m2
1665335	9	1			ziem	zio	subst:sg:inst:m1
1665312	70	1			lem	iel	subst:sg:inst:m3
1665307	40	1			lem	el	subst:sg:inst:m1
1665306	651	3			lem	l	subst:sg:inst:m3
1665305	129	2			lem	l	subst:sg:inst:m2
1665304	478	11			lem	l	subst:sg:inst:m1
1665272	121	1			ńcem	niec	subst:sg:inst:m3
1665269	438	1			cem	iec	subst:sg:inst:m3
1665267	534	1			cem	iec	subst:sg:inst:m1
1665261	66	1			cem	c	subst:sg:inst:m1
1665242	4	1			cem	ce	subst:sg:inst:m1
1665232	743	7			czem	cz	subst:sg:inst:m1
1665179	1	1			dzem	dze	subst:sg:loc:m1
1665131	64	1			rzem	rz	subst:sg:inst:m2
1665130	1801	1			rzem	rz	subst:sg:inst:m1
1665126	3	1			orzem	órz	subst:sg:inst:m3
1665105	79	1			rzem	rze	subst:sg:inst:n2
1665088	207	1			szem	sz	subst:sg:inst:m3
1665086	380	1			szem	sz	subst:sg:inst:m1
1665035	11	1			żem	ż	subst:sg:inst:m1
1664983	7	1			ijem	ij	subst:sg:inst:m1
1664972	99	2			ojem	ój	subst:sg:inst:m3
1664843	122	1			bem	b	subst:sg:inst:m3
1664841	59	4			bem	b	subst:sg:inst:m1
1664826	252	1			chem	ch	subst:sg:inst:m3
1664824	159	4			chem	ch	subst:sg:inst:m1
1664776	557	3			dem	d	subst:sg:inst:m3
1664775	85	1			dem	d	subst:sg:inst:m2
1664774	210	2			dem	d	subst:sg:inst:m1
1664758	21	1			fem	f	subst:sg:inst:m2
1664757	92	3			fem	f	subst:sg:inst:m1
1664741	1	1			hem	h	subst:sg:inst:m2
1664740	9	2			hem	h	subst:sg:inst:m1
1664713	2	1			hem	he	subst:sg:inst:m1
1664647	1836	6			mem	m	subst:sg:inst:m3
1664645	98	3			mem	m	subst:sg:inst:m1
1664590	1762	11			nem	n	subst:sg:inst:m3
1664589	258	2			nem	n	subst:sg:inst:m2
1664588	850	27			nem	n	subst:sg:inst:m1
1664586	125	1			nem	no	subst:sg:inst:n2
1664582	5	1			nem	no	subst:sg:inst:m1
1664580	8	2			nem	ne	subst:sg:loc:n2
1664551	1	1			pem	pe	subst:sg:loc:n2
1664523	13	1			rem	er	subst:sg:inst:m2
1664520	1615	4			rem	r	subst:sg:inst:m3
1664519	235	4			rem	r	subst:sg:inst:m2
1664518	1231	21			rem	r	subst:sg:inst:m1
1664495	1013	4			sem	s	subst:sg:inst:m3
1664494	220	1			sem	s	subst:sg:inst:m2
1664493	477	11			sem	s	subst:sg:inst:m1
1664388	2569	4			tem	t	subst:sg:inst:m3
1664387	240	1			tem	t	subst:sg:inst:m2
1664386	760	4			tem	t	subst:sg:inst:m1
1664384	76	1			tem	to	subst:sg:inst:n2
1664378	1	1			tem	te	subst:sg:loc:n2
1664376	2	1			tem	te	subst:sg:inst:n2
1664342	223	1			wem	w	subst:sg:inst:m3
1664340	208	10			wem	w	subst:sg:inst:m1
1664338	2189	6			wem	wo	subst:sg:inst:n2
1664320	1	1			ozem	óz	subst:sg:inst:m2
1664319	2	1			ozem	óz	subst:sg:inst:m1
1664307	52	1			zem	z	subst:sg:inst:m1
1664163	463	2			giem	g	subst:sg:inst:m3
1664161	336	4			giem	g	subst:sg:inst:m1
1664121	557	1			kiem	ek	subst:sg:inst:m2
1664120	669	15			kiem	ek	subst:sg:inst:m1
1664118	3292	3			kiem	k	subst:sg:inst:m3
1664117	838	4			kiem	k	subst:sg:inst:m2
1664116	2059	23			kiem	k	subst:sg:inst:m1
1664108	64	1			kiem	kie	subst:sg:loc:n2
1663286	99	1			cemu	cy	subst:sg:dat:m1
1662859	2	1			hemu	he	subst:sg:dat:m1
1662757	301	1			nemu	ny	subst:sg:dat:m1
1662617	35	1			temu	ty	subst:sg:dat:m1
1662431	54	1			kiemu	ki	subst:sg:dat:m3
1662429	1055	20			kiemu	ki	subst:sg:dat:m1
1662262	4	1			riemu	ri	subst:sg:dat:m1
1662102	19	3			bia	bie	subst:sg:gen:n2
1662077	12	5			cia	ć	subst:sg:gen:m1
1662075	12	2			cia	ć	subst:sg:acc:m1
1662050	372	1			cia	cie	subst:sg:gen:n2
1662040	2	2			dzia	dź	subst:sg:gen:m1
1661916	22	1			mia	m	subst:sg:gen:m3
1661852	3	3			nia	ień	subst:sg:gen:m1
1661844	102	7			nia	ń	subst:sg:gen:m3
1661843	31	1			nia	ń	subst:sg:gen:m2
1661842	27	4			nia	ń	subst:sg:gen:m1
1661840	27	2			nia	ń	subst:sg:acc:m1
1661839	1	1			nia	nio	subst:sg:gen:n2
1661836	24	3			nia	nio	subst:sg:gen:m1
1661815	1858	12			nia	nie	subst:sg:gen:n2
1661778	16	2			pia	pie	subst:sg:gen:n2
1661764	27	2			sia	ś	subst:sg:gen:m2
1661763	170	1			sia	ś	subst:sg:gen:m1
1661761	170	3			sia	ś	subst:sg:acc:m1
1661684	82	5			wia	wie	subst:sg:gen:n2
1661638	9	2			zia	zio	subst:sg:gen:m1
1661593	7	1			zia	zie	subst:sg:gen:n2
1661561	28	1			la	el	subst:sg:gen:m2
1661560	40	4			la	el	subst:sg:gen:m1
1661559	28	1			la	el	subst:sg:acc:m2
1661558	40	2			la	el	subst:sg:acc:m1
1661557	193	3			la	l	subst:sg:gen:m3
1661556	129	2			la	l	subst:sg:gen:m2
1661555	478	31			la	l	subst:sg:gen:m1
1661554	129	2			la	l	subst:sg:acc:m2
1661553	478	15			la	l	subst:sg:acc:m1
1661552	12	1			la	lo	subst:sg:gen:n2
1661547	28	3			la	lo	subst:sg:acc:m1
1661528	58	1			la	le	subst:sg:gen:n2
1661490	13	2			rca	rzec	subst:sg:gen:m3
1661485	120	1			ńca	niec	subst:sg:gen:m3
1661483	188	1			ńca	niec	subst:sg:gen:m1
1661481	188	2			ńca	niec	subst:sg:acc:m1
1661480	438	6			ca	iec	subst:sg:gen:m3
1661479	420	4			ca	iec	subst:sg:gen:m2
1661478	534	1			ca	iec	subst:sg:gen:m1
1661477	420	1			ca	iec	subst:sg:acc:m2
1661475	70	3			ca	ec	subst:sg:gen:m3
1661473	60	1			ca	ec	subst:sg:gen:m1
1661469	15	1			ca	c	subst:sg:gen:m2
1661468	66	9			ca	c	subst:sg:gen:m1
1661466	66	8			ca	c	subst:sg:acc:m1
1661450	1	1			ca	co	subst:sg:gen:m1
1661391	770	2			cza	cz	subst:sg:gen:m3
1661389	743	63			cza	cz	subst:sg:gen:m1
1661387	743	21			cza	cz	subst:sg:acc:m1
1661323	115	1			cza	cze	subst:sg:gen:n2
1661129	433	4			rza	rz	subst:sg:gen:m3
1661127	1801	6			rza	rz	subst:sg:gen:m1
1661119	3	1			orza	órz	subst:sg:gen:m3
1661051	79	1			rza	rze	subst:sg:gen:n2
1661025	119	7			sza	sz	subst:sg:gen:m3
1661023	380	12			sza	sz	subst:sg:gen:m1
1661022	44	1			sza	sz	subst:sg:acc:m2
1661021	380	3			sza	sz	subst:sg:acc:m1
1660894	25	1			ża	ż	subst:sg:gen:m3
1660892	11	2			ża	ż	subst:sg:gen:m1
1660890	11	1			ża	ż	subst:sg:acc:m1
1660820	16	2			aja	aj	subst:sg:gen:m3
1660818	32	6			aja	aj	subst:sg:gen:m1
1660817	15	1			aja	aj	subst:sg:acc:m2
1660782	8	1			eja	ej	subst:sg:gen:m2
1660781	47	2			eja	ej	subst:sg:gen:m1
1660744	7	1			ija	ij	subst:sg:gen:m1
1660742	7	2			ija	ij	subst:sg:acc:m1
1660709	1	1			oja	ój	subst:sg:gen:m3
1660700	26	1			oja	oj	subst:sg:acc:m1
1660628	7	1			uja	uj	subst:sg:gen:m1
1660626	7	1			uja	uj	subst:sg:acc:m1
1660400	6	1			ęba	ąb	subst:sg:gen:m2
1660347	25	1			ba	b	subst:sg:gen:m3
1660346	32	2			ba	b	subst:sg:gen:m2
