holender	interj	emo		SGJP wiki
hop	interj	onom		SGJP wiki
hop	interj	apel		SGJP wiki
hop-hop	interj		mwe	wiki
hop-siup	interj		mwe	wiki
hopla	interj	apel		SGJP wiki
hops	interj	onom		SGJP wiki
hops	interj	apel		SGJP wiki
hopsa	interj	onom		SGJP wiki
hopsa	interj	apel		SGJP wiki
hopsasa	interj	apel		SGJP wiki
hosanna	interj	emo		SGJP wiki
hosanna	interj	apel		SGJP wiki
hrym	interj			SGJP
hu	interj	onom		SGJP wiki
hu	interj	emo		SGJP wiki
hu	interj	apel		SGJP wiki
hu! hura	interj	emo	mwe	wiki
hu-ha	interj		mwe	SGJP wiki
hu-hu-ha	interj		mwe	wiki
hum	interj			SGJP
hup	interj			SGJP
hura	interj	emo		SGJP wiki
hura	interj	apel		SGJP wiki
hurra	interj	emo		SGJP wiki
hurra	interj	apel		SGJP wiki
huru-buru	interj		mwe	SGJP
huzia	interj	apel		SGJP wiki
huź	interj			SGJP
huźha	interj			SGJP
hy	interj	onom		NKJP1M wiki
hy	interj	emo		NKJP1M wiki
hyc	interj	onom		SGJP wiki
hę	interj	emo		SGJP wiki
i	interj	emo		SGJP wiki
iha	interj	onom		wiki
ihaha	interj	onom		wiki
ii	interj	emo		SGJP wiki
iii	interj	emo		SGJP wiki
ijo	interj	onom		wiki
jazda	interj	apel		wiki
jeb	interj	onom		wiki
jej	interj	emo		SGJP wiki
jejku	interj	emo		SGJP wiki
jeny	interj			SGJP
juhu	interj	emo		wiki
jupi	interj	emo		wiki
juści	interj			SGJP
kap	interj	onom		SGJP wiki
kapu	interj	onom		wiki
kaput	interj	apel		SGJP wiki
kic	interj	onom		SGJP wiki
kici	interj	apel		SGJP wiki
kikiryki	interj			SGJP
kikut-śtukut	interj		mwe	SGJP
kiw	interj			SGJP
kić	interj			SGJP
kla-kla	interj		mwe	wiki
klap	interj	onom		SGJP wiki
kle	interj	onom		wiki
klepu-klep	interj		mwe	SGJP
klepu-klepu	interj		mwe	SGJP
klik	interj	onom		wiki
klituś-bajduś	interj		mwe	SGJP
klops	interj	onom		wiki
klops	interj	apel		wiki
kniaź	interj			SGJP
ko	interj	onom		wiki
ko-ko	interj		mwe	wiki
ko-ko-ko	interj		mwe	SGJP
kochasiu	interj			SGJP
kontra	interj			SGJP
kra	interj	onom		wiki
kra-kra	interj		mwe	wiki
krętu-wętu	interj		mwe	SGJP
ksz	interj	apel		wiki
ku-ku	interj		mwe	wiki
kuchnia	interj			SGJP
kuku	interj	onom		SGJP wiki
kukuk	interj			SGJP
kukuryku	interj	onom		SGJP wiki
kum	interj	onom		SGJP wiki
kum-kum	interj		mwe	wiki
kurcze	interj	emo		wiki
kurczę	interj	emo		SGJP wiki
kurde	interj	emo		SGJP wiki
kurdebalans	interj	emo		SGJP wiki
kurka	interj	emo		SGJP wiki
kurna	interj	emo		SGJP wiki
kurwa	interj	emo		SGJP wiki
kuśtyk	interj			SGJP
kuźwa	interj			SGJP
kwa	interj	onom		SGJP wiki
kwik	interj	onom		wiki
kwiku	interj			SGJP
kwita	interj	apel		SGJP wiki
kysz	interj	apel		SGJP wiki
kłap	interj	onom		SGJP wiki
la	interj	inne		SGJP wiki
laboga	interj	emo		SGJP wiki
lu	interj	onom		SGJP wiki
lu	interj	apel		SGJP wiki
luli	interj	apel		SGJP wiki
lulu	interj			SGJP
mach	interj	onom		SGJP wiki
malu	interj			SGJP
